PH,Temp,Turbidity,TSS,BOD5,COD,DO,Amoni,Phosphat,Coliforms,WQI
6.8,27.9,75,125,11.5,31.2,6.8,0.9,0.22,1100,64.13
6.8,27.6,49,101,5.3,12,7.1,1.29,0.18,2700,72.01
7.1,27.3,95,106,5.8,14.4,6.7,0.84,0.22,3100,0.7
7,27.4,98,201,8.8,24,6.4,0.5,0.24,1200,69.34
6.8,27.5,97,206,12.4,33.6,5.7,0.73,0.22,39000,14.2
6.5,27.8,105,219,11.2,31.2,3.6,3.42,0.21,24000,3.63
6.4,27.9,110,199,18.2,45.6,2.2,0.67,0.17,26000,3.58
7.1,29,110,110,3.6,7.2,6.7,0.9,0.01,45,44.15
7.1,28,112,112,7.2,12,7.1,1.12,0.02,68,46.47
7,28.5,113,113,11.88,21.6,6.8,5.49,0.01,1200,18.64
7.2,28.5,123,123,2.04,4.8,6.9,3.14,0.04,810,20.2
7.2,28.5,109,109,23.66,40.8,6.7,17.81,0.08,11000,3.76
6.9,28.5,90,90,19.18,40.8,6,14.11,0.06,3300,67.63
7.1,28.5,81,81,9.6,19.2,5.4,2.8,0.02,1100,75.33
6.2,28.5,235,235,56.16,124.8,3.8,34.16,0.12,35000,3.09
5.9,29,350,350,62.95,146.4,0.12,36.96,0.1,37000,2.75
7.2,28.5,110,110,13.44,22.4,6.4,2.07,0.08,1100,44.02
7,29.8,112,112,11.26,17.6,6.7,1.18,0.01,2500,40.53
7.3,29,113,113,20.67,30.4,6.2,1.34,0.02,2400,16.76
7,30,123,123,17.02,30.4,6.5,0.9,0.06,3100,18.25
7,29.5,109,109,34.56,57.6,6.7,1.57,0.1,8100,0.13
6.4,28.9,90,90,29.16,64.8,6.2,1.46,0.12,7200,54.83
7.1,28.7,81,81,32.64,54.4,5.1,0.84,0.04,7000,56.13
6.2,29.3,235,235,65.52,187.2,3.5,26.43,0.12,45000,3.07
5.8,28.3,350,350,84.48,211.2,0.11,36.4,0.14,40000,2.66
7,29.5,90,78,14.22,22.4,6.8,1.4,0.04,180,48.62
7.2,30.5,98,88,14.54,28.8,7.1,1.12,0.01,450,74.26
7.1,29.6,102,76,8.61,14.4,6.9,1.12,0.01,810,46.87
7,28.8,102,95,3.55,4.8,7,1.01,0.02,790,49.48
6.9,28.9,86,87,7.08,9.6,6.5,0.34,0.01,250,82.76
7.2,29,100,192,8.32,14.4,6.6,0.56,0.01,360,18.02
7.1,29.3,86,199,8.76,13.6,5.6,1.06,0.04,360,70.59
6.3,29.8,245,179,9.5,14.4,3,1.26,0.04,150,18.34
5.5,29.9,364,311,61.9,109.2,0.23,1.74,0.34,13000,0.02
7.2,29,99,96,13.22,20.8,6.8,3.08,0.1,3500,43.25
7.1,30,95,92,13.76,24,7,3.02,0.06,1200,74.16
7.3,29.2,95,86,9.08,16,6.7,4.42,0.2,2600,74.72
7.3,29.8,124,100,13.44,26.4,7.1,2.8,0.01,1400,43.86
6.8,29.2,121,94,12.55,19.6,6.4,3.14,0.02,3100,44.81
7.1,29,107,97,14.18,22.4,6.4,0.62,0.06,930,45.92
7,29.3,98,101,13.8,27.2,5.2,1.01,0.14,1600,66.56
6.6,29.4,235,127,27.45,58.4,3.2,9.71,0.62,91000,2.8
5.4,29.7,297,222,30.46,88.8,1.13,10.72,1.04,100000,2.09
7,29.2,92,97,8.82,19.2,6.7,0.52,0.06,1700,49.72
7.2,29.1,85,78,9.55,20.2,6.8,1.13,0.12,2200,75.96
7.2,29.5,82,86,12.89,26.4,6.9,0.78,0.16,1100,76.02
7.2,28.9,89,89,14.6,28,5.8,1.11,0.01,5400,65.73
7.1,29.5,92,97,15.06,33.6,6.9,0.19,0.01,45000,16.77
6.9,29.7,95,110,12.9,24,5.2,1.35,0.04,400000,14.6
6.7,29.5,98,125,14.22,28.8,5.2,1.56,0.16,39000,14.14
6.1,29.8,214,101,37.02,93.6,5.7,0.54,0.14,600000,3.58
5.7,29,112,227,51.18,96.8,1.32,1.12,0.28,900000,1.78
7.1,26.5,91,99,13.14,29.2,6.88,1.67,0.01,990,42.03
7.2,26,99,98,14.38,30,6.77,1.91,1.02,930,66.68
6.5,27.2,92,82,13.55,28.2,6.52,1.12,0.22,5500,60.31
6.9,26.5,95,97,13.23,29.4,6.47,1.37,0.5,6300,57.39
6.5,26.8,92,93,23.11,51.4,5.6,0.96,0.56,6900,50.24
6.4,25.9,97,96,15.8,34.6,6.2,0.92,0.48,4500,61.41
6.4,26.1,92,103,12.04,26.3,5.31,1.48,0.36,7900,48.48
6.1,26.5,104,95,14.04,30.7,4.34,1.06,0.81,11000,8.36
5.5,26.7,102,145,25.88,57.5,1.4,1.62,1.28,72000,0.03
7.2,27.5,92,72,12.2,27.1,6.8,0.86,0.01,450,42.74
7.3,27,98,87,17.06,35.5,6,1.12,0.02,1300,71.27
6.7,26.8,95,82,15.54,32.4,6.45,0.84,0.01,790,59.38
6.8,27.2,85,93,15.55,34.6,6.57,1.23,0.24,810,70.57
6.5,27.1,97,88,21.22,47.2,5.8,1.4,0.01,6900,49.01
6.6,26,97,100,14.87,32.5,6.4,0.9,0.01,7000,52.66
6.8,27.1,92,113,12.48,27.3,5.31,0.44,0.01,7200,50.11
6.1,27.2,120,87,15.38,33.7,4.82,1.1,0.02,25000,9.7
5.4,27.1,122,154,23.33,51.8,1.55,0.84,0.22,81000,3.15
7.1,27.2,102,84,13.5,22.4,6.7,0.78,0.01,2400,40.15
7,26.5,109,88,17.1,35.6,6.5,1.87,0.01,3100,36.35
6.9,27.1,74,92,15.05,29.1,6.7,1.12,0.01,7900,46.35
6.7,27.6,84,85,18.82,40.4,6.6,0.53,0.12,9200,51.63
7.2,26.9,82,93,22.08,44.1,6.1,1.86,0.01,2500,59.63
6.7,26.3,135,110,19.3,42.2,6.4,0.84,0.11,8100,13.66
6.8,27.3,126,127,15.77,34.5,5.3,0.87,0.01,25000,3.38
6.3,27.2,125,191,16.44,36,3.1,0.62,0.18,92000,3.7
5.6,27,114,246,27.54,59.8,2.6,0.66,0.2,160000,2.03
7.1,28.4,95,90,14.3,29.1,6.8,0.85,0.11,5500,41.24
7,29.5,91,89,11.22,26.4,6.7,0.78,0.14,4300,70.54
6.9,28.2,92,84,11.56,28.8,6.8,0.96,0.2,1200,74.71
7.1,27.7,82,100,16.06,35.6,6.6,0.45,0.12,7500,59.3
6.9,27.8,88,101,18.33,40.1,6.5,0.56,0.1,9500,45.85
7.1,28.1,83,130,17.56,38.4,6.6,0.69,0.08,8100,52.14
7.1,28.4,98,105,19.15,22.2,6.7,1.74,0.06,11000,14.82
6.4,27.8,134,178,26.44,57.8,3.9,1.57,0.22,14500,3.33
5.6,27.5,138,121,36.84,81.8,0.45,3.92,0.02,18000,1.75
6.7,28,99,68,13.06,29,6.8,1.23,0.01,8400,29.5
6.9,28.2,91,72,13.3,27.7,6.6,0.84,0.01,2600,66.56
7.2,28,95,75,12.44,25.9,6.9,1.01,0.01,6400,58.6
6.9,28.1,90,86,14.28,31.7,6.7,1.29,0.01,11000,14.31
6.8,28,96,73,17.08,25.6,6.5,0.95,0.01,7000,55.4
7.2,28,97,92,20.55,45,6.6,1.34,0.01,680,62.19
7.1,28,88,91,16.3,23,6.2,1.74,0.01,5800,57.15
6.5,28,116,182,37.12,86.4,3.9,1.96,0.62,3500000,2.79
6,28,302,100,43.3,96.2,0.53,3.84,1.04,5400000,4.7
7.1,28,98,84.4,3.4,7.2,6.8,0.78,0.01,200,49.61
7.2,28.5,95,88.6,7.3,16.8,6.6,0.67,0.01,230,78.12
7,28,92,85.5,3.4,7.2,6.7,1.4,0.01,210,78.77
7,28.2,96,87.5,4.1,9.6,6.5,0.56,0.01,1300,83.21
6.9,28.1,93,89.9,6.8,14.4,6.9,0.56,0.01,910,80.27
6.9,28.3,91,85.1,11.2,24.4,6.9,4.59,0.01,1400,75.38
6.8,28,94,92.5,5.9,12,6.7,0.95,0.01,2100,79.57
6.6,28.2,95,96.4,11.8,26.4,3.5,1.01,0.24,640,68.28
6.6,28.3,110,131.3,7.3,19.2,3.1,1.96,0.3,680,17.11
7,27,100,96,14.8,38.4,6.7,1.12,0.01,310,43.15
7,27.5,102,86,11.7,22.4,6.9,0.84,0.01,190,45.19
6.9,28,123,94,13.4,36.8,6.6,0.84,0.02,240,42.82
7.1,28.5,125,86,26.8,67.2,6.7,0.45,0.01,92000,9.83
7.1,28.5,110,97,20.1,57.6,6.7,1.01,0.04,1300,42.56
6.9,28.5,100,92,13.2,28.8,6.2,0.95,0.02,910,45.84
7,28.6,85,98,13.4,36.8,5.4,0.22,0.01,3200,73.56
6.1,28.5,135,120,10.9,32,3.8,0.34,0.01,790,18.61
5.5,28.7,150,114,25.4,65.6,1.12,0.67,0.01,810,0.15
7.1,28.5,100,87.8,11.9,28.2,6.8,0.5,0.01,7900,35.11
7.2,29.5,93,84.04,15.2,34.2,6.7,0.73,0.01,2100,74.65
7.1,29.6,93,94.16,20.2,54.4,6.8,0.96,0.01,4300,66.89
7.2,28.7,82,96.63,11.6,24,7,0.72,0.01,47000,16.56
6.9,28.5,85,84.13,22.1,59.4,7.1,0.56,0.01,11000,15.8
7.2,29.2,100,82.66,11.6,27.6,6.9,0.97,0.01,6100,42.25
7.1,28.9,86,107.5,16.6,44.3,5.6,1.02,0.01,4700,60.19
6.3,28.8,145,116.38,12.3,28.8,3.1,2.84,0.01,3000,17.16
5.5,28.9,164,170.13,24.5,66.7,1.23,2.79,0.01,940,0.15
7.1,28.5,71,91.38,10.1,24.2,6.7,0.39,0.01,4600,52.88
7.2,28,73,92.35,13.7,31.5,7,0.73,0.01,3400,72.88
7,28,81,94.51,13.5,29.2,6.9,0.71,0.12,5400,67.56
7,28.2,82,95.38,7.6,18.3,6.8,0.45,0.01,2300,79.48
6.9,28.1,72,96,8.2,20.6,6.9,0.5,0.01,13000,16.96
6.7,27.9,78,99,14.6,32.6,6.3,0.45,0.01,1100,75.25
6.8,27.8,95,104.54,8.9,21.8,6.1,1.12,0.01,6900,57.55
6.5,28.2,234,154.13,10.7,26.4,3.8,1.02,0.01,28000,3.88
5.2,28.1,260,285.38,14.1,31.3,2.3,0.92,0.01,11000,3.75
6.9,28,88,76,6.7,16.8,6.7,0.56,0.04,780,51.97
6.9,27.9,85,69,8.2,18.4,6.8,0.34,0.02,1100,79.48
6.9,27.8,93,84,9.6,21.6,6.7,0.67,0.01,960,74.91
7.2,28.1,92,82,8.3,18.4,6.6,0.73,0.01,2400,79.29
6.8,27.9,92,92,8.9,17.4,6.8,0.56,0.01,450,79.17
6.7,27.5,98,93,14.3,29.2,6.3,0.5,0.02,630,75.82
6.8,27.5,95,98,11.9,24.6,6.1,0.73,0.02,7900,58.05
6.6,27.5,134,108,17.4,38.4,3.8,1.29,0.02,17000,3.71
5.3,27.6,100,144,19.2,45.6,2.3,1.72,0.04,13000,3.55
7,28,90,73,8.8,20.8,5.6,0.57,0.01,910,49.28
7.2,27.9,98,72,10.7,25.2,4.3,0.57,0.01,1300,73.83
7,27.8,92,84,9.6,22.4,5.8,0.71,0.01,6400,65.2
7,28.1,91,82,12.4,24.8,5.7,0.84,0.01,8100,57.52
6.8,27.9,92,84,15.4,37.2,5.1,0.58,0.01,5100,66.73
6.6,27.5,98,90,14.8,27.6,5.7,0.36,0.01,930,76.12
6.8,27.5,95,107,18.9,44.2,4.6,0.67,0.02,11000,14.02
6.3,27.5,198,106,29.8,67.5,4.5,1.4,0.04,13000,3.49
5.1,27.6,132,175,17.2,35.8,2.9,1.7,0.04,14000,3.67
7,28.5,86,75.2,9.4,17.2,7.61,0.22,0.02,11000,11.49
6.9,28,88,72.94,9.2,19.8,5.97,0.31,0.01,7000,63.84
6.9,28,123,76.64,10.8,18.2,6.05,0.41,0.02,8100,36.86
6.9,28.2,132,79.01,11.5,26.8,5.83,0.37,0.01,13000,10.87
6.8,28.1,72,83.76,10.3,24.6,5.85,0.22,0.02,4900,72.21
6.7,27.9,88,84.16,12.2,26.4,5.56,0.82,0.24,16000,15.58
6.8,27.8,80,81.45,17.8,36.6,5.21,0.9,0.36,1300,67.05
6.5,28.2,245,154.1,24.6,47.2,3.83,1.22,0.44,9000,10.4
5.2,28.3,367,247.91,19.4,39.8,3.36,2.25,0.42,6300,12.92
7.1,27,99,60,6.3,15.2,6.7,0.17,0.06,1100,48.63
7.1,27.5,98,60,6.3,15.2,6.8,0.22,0.04,2100,80.69
7.1,28,92,66,10.8,25.4,6.7,0.16,0.12,1300,78.89
7,27,76,66,9.1,22.2,6.6,0.17,0.14,2600,82.15
6.8,27.5,78,62,10.4,24.6,6.8,0.24,0.96,4700,70.71
6.7,28.1,82,63,12.6,28.8,6.3,0.71,0.12,11000,16.81
6.8,28.6,99,94.16,10.2,24.4,6.1,0.22,1.02,2300,72.89
6.7,28.5,145,70,15.6,36,3.8,1.23,1.64,28000,9.11
5.6,28.2,102,180,44.7,131.2,2.1,1.45,1.1,6300,6.1
7.3,30.7,88,41.4,13.8,35.2,6.9,0.22,0.01,3500,49.31
7.5,30.1,87,56.4,17.4,43.2,7,0.11,0.01,2900,76.6
7.1,30.5,82,74,15.8,41.6,7,1.12,0.01,11000,16.19
7.2,30,96,93,13.8,35.2,6.6,0.22,0.01,10000,49.16
7,30.8,98,92,25.4,76.8,6.8,2.6,0.2,100000,14.13
7.1,30.9,94,92,23.2,59.2,6.4,0.28,0.12,18000,15.87
7,29.9,95,98,25.1,62.4,6.3,0.45,0.08,11000,15.36
6.9,30,155,114.5,29.3,70.4,3.5,3.75,0.12,21000,3.31
6.8,29.5,122,142,64.8,184,2.2,5.42,4.8,92000,2.03
6.5,28.6,72,76.73,4.2,9.6,6.5,1.12,0.04,210,58.45
7,28,75,76.29,7.8,19.2,6.3,3.25,0.5,170,68.94
6.8,28,76,75.79,4.3,9.6,6.2,0.28,0.02,210,80.87
6.7,28,75,82.91,9.7,24,6.2,0.39,0.04,1100,78.99
6.5,27,88,81.25,130.6,302.4,6,0.56,0.01,9100,38.75
6.2,28.2,63,99.01,18.9,48.6,6.4,0.45,0.04,1600,73.15
6.1,27,145,113.98,20.1,52.8,5.4,0.39,0.08,1100,17.92
6.3,28,178,163.9,24.5,67.2,3.2,0.56,0.01,540,13.69
6,28.3,190,143.14,9.8,24.4,2.45,1.74,0.14,460,17.53
6.7,27,120,59.78,7.5,19.6,6.7,0.28,0.2,240,46
6.6,28.2,110,59.14,4.4,9.6,6.6,0.67,0.08,190,48.3
6.5,27.6,123,67.95,11.7,33.2,6.7,0.67,0.04,340,49.6
6.6,27,213,67.3,7.1,16.8,6.3,0.45,0.01,910,49.4
6.4,27.2,234,76.6,4.6,9.6,6.2,0.22,0.01,2900,50.2
6.3,27.1,276,87.8,7.2,19.2,6.2,0.34,0.01,4600,41.7
6.2,27.9,251,95.3,5.9,14.4,6.4,1.51,0.12,1100,46.8
6,27.2,235,183,4.3,9.4,5.5,0.73,0.01,510,18.3
5.9,27.5,278,185.3,11.8,33.6,2.9,1.62,0.08,490,15.7
6.5,28.2,92,70.16,7.1,19.2,6.6,0.45,0.01,7000,40.94
6.6,28.2,95,78,6.5,14.4,6.7,0.39,0.01,3100,78.33
6.6,27.6,90,76,8.8,24,6.7,0.58,0.08,6400,64.27
6.5,24.5,100,79,11.6,31.2,6.4,0.52,0.01,400,44.28
6.7,27.2,85,89,7.1,19.2,6.3,0.28,0.04,1300,80.08
6.7,27.3,176,84,10.8,28.8,6.4,0.47,0.02,4700,45.46
6.3,28.1,143,93,10.8,28.8,6.1,1.51,0.12,4100,42.67
5.9,27.5,125,100,22.3,52.8,3.8,1.74,0.01,910,34.89
5.6,28.3,125,139.04,11.1,28.8,3.2,1.57,0.01,2100,10.62
6.8,28,110,29.14,7.8,20.8,6.7,1.23,0.01,2200,40.63
6.8,28.1,112,19.58,11.2,28,6.6,0.56,0.01,910,40.59
6.7,27.2,125,27.9,7.2,17.2,6.7,1.12,0.06,3400,61.14
6.8,28,203,17.95,9.4,22.8,6.4,0.45,0.04,1400,72.15
6.6,27.3,195,20.03,10.7,24,6.5,0.34,0.12,1700,72.06
6.5,27.5,178,29.14,10.9,24.8,6.2,0.45,0.04,6900,53.91
6.3,28,166,40.41,8.8,19.2,6.2,2.13,0.16,3100,57.65
6,28.1,205,39.13,13.9,34.8,5.5,1.34,0.2,3100,54.48
5.5,28.3,288,29.19,12.6,31.2,2.7,3.08,0.24,8100,0.42
6.7,28,113,17.26,17.8,46.4,6.7,0.67,0.04,4600,40.06
6.6,28,116,16.45,13.5,37.1,6.7,0.73,0.08,810,44.17
6.6,28,120,10.58,11.8,32.5,6.5,11.82,1.04,1400,55.15
6.5,28.3,203,4.5,19.3,51,6.4,1.29,0.16,1300,64.26
6.5,28,212,13.54,11.8,32.5,6.3,1.12,0.01,1300,68.46
6.6,28.4,256,19.19,29.6,78.9,6.3,24.64,2.96,5700,44.3
6.3,28.1,240,2.29,31.4,92.8,6.1,5.6,0.68,54000,10.89
5.8,27.5,205,23.16,35.7,102.1,3.8,24.92,2.62,8400,25.15
5.6,28.3,236,23.14,17.8,46.4,2.5,27.44,3.7,8100,21.98
6.7,28,113,29.03,5.7,14.2,6.7,0.34,0.16,1100,47.18
6.6,28,116,23.18,4.2,9.4,6.7,0.28,0.14,4900,44.75
6.6,28,120,45.39,4.2,9.4,6.5,0.22,0.24,2900,58.77
6.5,28.3,203,40.41,6.8,18.9,6.4,0.34,0.12,7000,51.34
6.5,28,212,76.25,7.1,20.4,6.3,0.28,0.18,8100,39.65
6.6,28.4,256,27.26,12.3,33,6.3,8.18,0.54,6900,46.62
6.3,28.1,240,41.38,6.8,18.9,6.1,0.56,0.42,1700,57.4
5.8,27.5,205,29.13,15.8,42.5,3.8,0.67,0.46,17000,9.33
5.6,28.3,236,41.64,17.3,47.2,2.5,0.56,0.02,8100,24.61
6.8,26.2,110,27.98,5.2,13.8,6.7,0.45,0.06,1200,47.49
6.5,26.3,110,28.14,5.2,13.8,6.7,0.39,0.12,940,47.51
6.6,26.4,120,37.91,7.5,18.4,6.6,0.45,0.1,2100,59.95
6.4,26.2,180,45.39,10.1,23,6.2,0.56,0.14,4900,52.85
6.5,26.1,212,41.25,5.2,13.8,6.2,0.67,0.04,4600,57.43
6.6,26.5,256,31.41,11.3,27.6,6.4,2.13,0.08,8100,47.02
6.3,26.3,240,41.44,7.5,18.4,6.2,0.56,0.06,4700,56.13
6,26.4,205,22.75,15.3,36.9,3.5,2.18,0.14,9000,43.13
5.6,26.1,237,45.75,20.1,55.3,2.8,3.19,0.36,11000,5.67
6.7,27,105,22.64,4.4,11.5,6.98,1.12,0.12,2100,47.3
6.7,26.5,105,16.64,5.3,13.8,6.89,0.84,0.48,780,43.78
6.6,26.8,122,22.9,5.2,13.8,6.65,1.34,0.5,310,61.71
6.5,27,175,15.81,3.5,9.2,6.47,0.9,0.14,420,74.47
6.5,27.1,216,22.79,5.2,11.5,6.45,0.56,0.28,1100,70.21
6.6,26.8,260,78.64,44.7,129,6.55,2.69,0.52,8100,28.07
6.4,26.3,245,41.25,5.2,13.8,6.39,0.78,0.8,790,57.72
6.3,26.4,215,42.7,6.6,16.1,3.74,0.62,0.28,910,56.06
5.9,26.5,241,47.54,11.3,30,2.87,2.58,1.28,8100,31.82
6.8,27,95,25.01,8.6,23.1,6.8,0.17,0.02,450,49.73
6.8,26,99,18.31,13.1,32.4,6.56,0.45,0.02,610,75.51
6.8,27,120,13.91,13.1,32.4,6.7,0.45,0.04,1100,66.94
6.7,27,165,20.85,5.1,13.9,6.56,0.28,0.01,4300,70.17
6.6,26.9,206,38.79,4.2,9.2,6.33,0.22,0.02,450,66.68
6.7,26.8,256,12.5,13.1,32.4,6.7,0.5,0.06,810,70.45
6.5,26.5,257,54.24,62.8,181.4,5.7,0.11,0.06,190,50.99
6.4,26.6,235,29.79,16.4,41.6,4.56,0.67,0.08,1400,59.91
6,26.3,235,13.33,11.2,27.7,3.05,3.86,0.14,7900,48.95
6.7,27.2,100,12.98,4.1,8.1,6.7,0.9,0.01,1900,47.95
6.7,27.5,102,20,5.8,12.2,6.7,0.45,0.01,410,47.67
6.7,27.2,106,19.54,11.4,24.4,6.6,0.67,0.01,13000,14.43
6.65,27.2,135,41.05,5.2,10.2,6.6,0.9,0.02,1100,63.24
6.5,27.5,205,40,10.5,20.3,6.5,0.39,0.01,6900,51.2
6.5,27,215,29.29,6.6,14.2,6.4,0.67,0.01,54000,14.36
6.4,27.7,257,38.75,12.7,28.4,6.3,0.56,0.01,24000,13.07
6,26.5,228,28.98,6.9,16.3,3.5,1.68,0.01,6300,53.32
5.5,27.1,227,27.66,13.8,32.5,3.2,7.9,0.3,17000,0.12
6.7,27.2,100,21.03,5.2,12.2,6.7,0.62,0.01,130,43.38
6.6,28,100,17.08,3.8,10.2,6.7,0.9,0.01,400,44
6.7,27.5,106,24.44,9.6,24.5,6.7,0.17,0.02,640,60.91
6.7,27.5,125,26.88,7.5,20.4,6.6,0.22,0.01,4900,63.59
6.5,27.5,205,39.6,6.4,14.3,6.5,0.17,0.01,2300,59.37
6.5,27.5,215,22.94,5.2,12.2,6.5,0.34,0.01,1700,73.76
6.4,27.5,228,37.91,7.5,20.4,6.5,0.22,0.02,4100,60.63
6,27.5,227,45.14,7.2,16.3,3.4,0.9,0.05,11000,12.21
5.5,27.5,227,28.88,7.5,20.4,3,0.67,0.02,2200,0.63
6.6,27,98,16.4,7.6,20.3,6.6,0.11,0.01,200,45.12
6.7,27.5,97,13.76,6.2,16.3,6.7,0.45,0.02,410,79.2
6.6,27.6,111,35.48,6.9,18.3,6.7,0.11,0.02,260,64.27
6.7,27.5,135,41.58,18.5,44.7,6.5,0.22,0.01,3300,51.28
6.6,27,215,47.95,6.9,18.3,6.7,0.22,0.02,2900,59.51
6.6,27,225,29.15,7.6,20.3,6.5,1.62,0.04,11000,13.95
6.5,27.5,227,29.2,10.3,28.4,6.5,2.24,0.04,6300,53.93
6.1,27,238,28.89,31.2,73.2,3.5,3.36,0.42,470000,9.72
5.5,27,217,26.66,20.8,52,3.2,4.98,0.44,14000,0.1
6.7,28,110,164,3.5,10.1,6.7,6.05,0.01,1400,45.12
6.6,27.5,100,137.6,8.1,20.3,6.7,7.5,0.42,610,79.2
6.6,27.5,111,135.48,6.7,16.3,6.7,1.68,0.4,1300,64.27
6.7,27.5,125,141.58,11.6,28.4,6.5,1.9,0.34,450,51.28
6.6,27,215,147.95,8.8,22.4,6.7,1.12,0.02,5400,59.51
6.6,27,225,291.5,6.4,18.2,6.5,2.07,0.36,17000,13.95
6.5,27.5,227,292,4.8,12.2,6.5,1.34,0.02,49000,53.93
6.4,27,238,288.9,6.5,18.1,3.2,1.01,0.2,6100,9.72
5.5,27,200,266.6,14.1,32.5,3.8,10.64,0.36,7000,0.1
7.3,36,80.1,11.54,8.2,20.3,7.04,0.56,0.2,110,53.13
7.2,34,133.3,12.38,6.6,16.3,7.2,0.62,0.52,410,43.43
7.1,34,111.8,28.68,15.7,34.5,7.52,0.34,0.62,680,60.59
7,33,230.3,15.14,14.2,32.5,6.56,0.9,1.06,1300,63.34
6.5,34,181.1,39.19,10.4,26.4,5.44,0.39,1.16,10000,35.73
7,31,182.3,41.31,6.6,16.3,5.6,0.28,0.94,11000,12.5
7,33,642,64.35,11.2,28.4,6.88,0.67,0.96,61000,10.68
6.8,31,111.1,19.32,10.9,24.4,5.44,0.5,0.8,7900,49.99
6.9,31,106.3,14.88,18.8,46.7,4.48,1.51,2.24,11000,11.98
6.9,32,90,27.79,4,10.2,6.8,0.67,0.24,1000,47.26
6.9,33,91,25.2,9.7,24.4,6.7,0.78,0.48,490,71.1
6.8,33,111,29.65,6.5,16.3,6.7,0.78,0.7,790,61.77
6.8,34,115,23.36,7.1,18.3,6.5,0.62,1.28,11000,14.17
6.9,30,115,33.9,4.9,12.2,6.7,0.84,1.3,2100,61.83
6.8,30,225,30.54,13.4,32.5,6.5,1.12,0.96,13000,12.31
6.7,32,227,30.2,11.1,26.4,6.5,1.34,1.3,2300,58.28
6.6,32,238,27,13.4,32.5,3.9,1.12,0.66,7900,42.82
6.5,32,200,38,8.4,20.3,3.8,1.06,1.68,8100,39.97
6.7,27,110,27.79,3.7,8.1,6.7,1.23,0.06,810,47.72
6.6,27,91,25.2,7.2,18.3,6.6,0.9,0.11,640,45.43
6.7,27,110,29.65,5.5,12.2,6.7,1.01,0.13,510,63.19
6.6,27.5,115,23.36,7.6,20.3,6.5,0.78,0.02,1700,69.58
6.7,27,116,33.9,15.6,36.6,6.7,0.56,0.03,9000,43.55
6.7,27,220,30.54,11.1,28.4,6.5,1.01,0.03,8100,47.73
6.7,27,220,30.2,9.3,24.4,6.5,2.18,0.01,22000,13.61
6.6,28,208,27,8.6,20.3,3.9,2.46,0.04,13000,13.59
6.5,27,200,38,11.1,28.4,2.8,5.04,0.05,8100,41.85
6.7,27,110,13.41,6.6,16.3,6.7,1.23,0.24,900,44.06
6.6,27,91,25.51,5.1,12.2,6.6,1.01,0.2,540,77.14
6.7,27,110,16.53,5.8,14.3,6.7,1.06,0.12,810,68.35
6.6,27.5,115,25.5,5.1,12.2,6.5,1.23,0.12,2200,69.51
6.7,27,116,23.49,7.6,20.4,6.7,1.57,0.44,3100,62.77
6.7,27,220,26.99,6.9,18.3,6.5,0.9,0.56,7900,47.92
6.7,27,220,25.08,4.7,10.2,6.5,1.57,0.16,11000,15.05
6.6,28,208,37.53,6.2,14.3,3.9,2.24,0.14,1400,59.16
6.5,27,200,40.59,5.1,12.2,2.8,3.47,0.09,14000,12.66
